Gestão SUS,Esfera,Coord Reg de Saúde,Superv Tec de Saude,Subprefeitura,Distrito,nº CNES,Nome,Endereco,Telefone
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,2786699,SAE DST/AIDS BUTANTA,"AV. CORIFEU DE AZEVEDO MARQUES, 3596, BUTANTÃ, São Paulo, 05339000",3768-1523
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,3335070,SUPERVISAO TECNICA SAUDE BUTANTA,"AV. CORIFEU DE AZEVEDO MARQUES, 3596, VILA BUTANTA, São Paulo, 05340000",
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Butantã,2752395,SUVIS BUTANTA,"AV. CAXINGUI, 658, BUTANTÃ, São Paulo, 05579-001",3722-2198
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Butantã,2786826,UBS BUTANTA,"R. CABRAL DE MENEZES, 51, VL GOMES, São Paulo, 05590050",3726-1838
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Butantã,2786877,UBS CAXINGUI-NANCI ABRANCHES,"R. LADISLAU ROMAN, 410, CAXINGUI, São Paulo, 05515030",3721-6406
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Raposo Tavares,2787210,UBS J BOA VISTA,"R. CANDIDO FONTOURA, 620, JD BOA VISTA, São Paulo, 05583070",3782-8380
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,2787326,UBS J D ABRIL,"R. PAULO MARANHÃO, 444, JD D'ABRIL, São Paulo, 05398130",3782-1687
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Vila Sônia,2787512,UBS J JAQUELINE,"R. BONIFÁCIO VERONESE, 10, JD JAQUELINE, São Paulo, 05529060",3751-1665
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Raposo Tavares,2787784,UBS J SAO JORGE,"R. ANGELO APARECIDO DOS SANTOS DIAS, 331, JD SÃO JORGE, São Paulo, 05568090",3781-3817
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,2788004,UBS JOSE MARCILIO MALTA CARDOSO,"R. BERNARDO GUERTZENSTEIN, 45, RIO PEQUENO, São Paulo, 05381020",3718-0425
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Raposo Tavares,2788217,UBS PAULO VI,"AV. VATICANO, 69, JD JOAO XXIII, São Paulo, 05569120",3782-0838
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Morumbi,2788470,UBS REAL PQ-PAULO MANGAEIRA ALBERNAZ,"R. BARÃO DE MELGAÇO, 339, REAL PARQUE, São Paulo, 05684030",3758-2329
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,2788500,UBS RIO PEQUENO-PAULO DE BARROS FRANCA,"R. JOÃO LUIS MATEUS, 34, RIO PEQUENO, São Paulo, 05379030",3768-9460
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Raposo Tavares,2788764,UBS V BORGES,"R. JACINTO DE MORAES, 22, JD CLAUDIA, São Paulo, 05546040",3782-4739
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Rio Pequeno,2788810,UBS V DALVA-GUILHERME HENRIQUE P COELHO,"R. GUSTAVO BERTHIER, 155, VL DALVA, São Paulo, 05386110",3712-0704
SMS,MUNICIPAL,Centro- Oeste,Butantã,Butantã,Vila Sônia,2789256,UBS V SONIA,"R. ABRAÃO CALIL REZEK, 91, VL SONIA, São Paulo, 05625050",3742-9844
SMS,PRIVADA,Centro- Oeste,Butantã,Butantã,Morumbi,2058391,HOSP ALBERT EINSTEIN (int + amb),"AV. ALBERT EINSTEIN, 627/701, MORUMBI, São Paulo, 05652900",3747-1233
SMS,PRIVADA,Centro- Oeste,Butantã,Butantã,Vila Sônia,2048116,MEDSERV-UNID DE DIALISE DO INST IGUATEMI,"R. MANOEL JACINTO, 206, VILA SONIA, São Paulo, 05624000",35024001
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Pinheiros,2068966,CS SES PINHEIROS-VICTOR A H MELLO,"R. FERREIRA DE ARAUJO, 789, PINHEIROS, São Paulo, 05428002",3031-8407
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,6503829,FARMACIA MEDEX HCFMUSP SAO PAULO,"AV. DR ENEAS DE CARVALHO AGUIAR, 255, CERQUEIRA CESAR, São Paulo, 05403000",
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Pinheiros,3554473,FARMACIA MEDEX SES-CS VICTOR AH MELLO,"R. FERREIRA DE ARAUJO, 789, PINHEIROS, São Paulo, 05428002",
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2069601,FUND ONCOCENTRO DE SAO PAULO,"R. OSCAR FREIRE, 2396, PINHEIROS, São Paulo, 05409-012",3089-8755
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2088789,HEMOCENTRO DE SAO PAULO,"AV. DR ENEAS CARVALHO DE AGUIAR, 155, CERQUEIRA CESAR, São Paulo, 05403-000",3061-5544
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2078015,HOSP CLINICAS FMUSP HOSPITAL DAS CLINICAS,"AV. DR ENEAS DE CARVALHO AGUIAR, 255, CERQUEIRA CESAR, São Paulo, 05403-900",2661-0000
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2071568,HOSP CLINICAS FMUSP INSTITUTO DO CORACAO INCOR,"AV. DR ENEAS DE CARVALHO AGUIAR, 44, CERQUEIRA CESAR, São Paulo, 05403000",2661-5000
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2812703,HOSP CLINICAS FMUSP-INST DE PSIQUIATRIA,"R. DR OVÍDIO PIRES DE CAMPOS, 785, CERQUEIRA CESAR, São Paulo, 05403-010",2661-6440
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2034433,HOSP DAS CLINICASLAB DE INVESTIGACAO MEDICA,"AV. DR ARNALDO, 455, CERQUEIRA CESAR, São Paulo, 01246903",
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2088576,HOSP SES BRIGADEIRO TRANSPLANT E. JESUS ZERBINI,"AV. BRIGADEIRO LUIZ ANTONIO, 2651, JARDIM PAULISTA, São Paulo, 01401901",3170-6329
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2028840,HOSP SES INSTITUTO DE INFECTOLOGIA EMILIO RIBAS,"AV. DR ARNALDO, 165, CERQUEIRA CESAR, São Paulo, 01246900",3896-1200
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2091364,INST ADOLFO LUTZ,"AV. DR ARNALDO, 355, CONSOLACAO, São Paulo, 01246902",3085-7022
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,6123740,INSTITUTO DO CÂNCER DO ESTADO DE SÃO PAULO,"AV. DR ARNALDO, 251, CERQUEIRA CESAR, São Paulo, 01246900",3893-2816
SES,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,2068931,PAM LAPA-NGA 50,"R. ROMA, 466, LAPA, São Paulo, 05050090",3873-2355
SMS,ESTADUAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2091321,CS SES GERALDO DE PAULA SOUZA-FAC S PUBLICA,"AV. DR ARNALDO, 925, JARDIM AMERICA, São Paulo, 01246904",3085-1134
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,6998208,AMA SOROCABANA,"R. CATÃO, 380, VILA ROMANA, São Paulo, 05042-000",3879-3090
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Jaguaré,6141749,AMA VILA NOVA JAGUARE,"R. SALATIEL DE CAMPOS, 222, JAGUARÉ, São Paulo, 05333010",3766-3160
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Jaguara,6141757,AMA VILA PIAUI,"PRAÇA CAMILO CASTELO BRANCO, 10, VL PIAUÍ, São Paulo, 05109270",3621-9840
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,6998194,AMA. ESPECIALIDADES SOROCABANA,"R. CATÃO, 380, VILA ROMANA, São Paulo, 05049-000",3862-9197
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,2751941,AMB ESPEC PQ DA LAPA-FERNANDO R CRUZ,"R. BRIGADEIRO GAVIÃO PEIXOTO, 727, LAPA, São Paulo, 05078000",3865-2213
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Barra Funda,7271905,BASE SAMU - CENTRO OESTE - BARRA FUNDA - AM985,"AV. MARQUES DE SÃ VICENTE, 2158, BARRA FUNDA, São Paulo, 01139-002",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Barra Funda,7271913,BASE SAMU - CENTRO OESTE - BARRA FUNDA - AM986,"AV. MARQUES DE SÃ VICENTE, 2158, BARRA FUNDA, São Paulo, 01139-002",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,7024312,BASE SAMU - CENTRO OESTE - HEITOR PENTEADO - AM980,"R. HEITOR PENTEADO, 813, SUMAREZINHO, São Paulo, 05438-000",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,7272243,BASE SAMU - CENTRO OESTE - HEITOR PENTEADO - AM981,"R. HEITOR PENTEADO, 813, SUMAREZINHO, São Paulo, 05438-000",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Barra Funda,7018150,BASE SAMU - CENTRO OESTE - LAPA - AM858,"R. DONA GERMAINE BURCHARD, 451, AGUA BRANCA, São Paulo, 05002-062",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Barra Funda,7272251,BASE SAMU - CENTRO OESTE - LAPA - URAM MC1104,"R. DONA GERMAINE BURCHARD, 451, AGUA BRANCA, São Paulo, 05002-062",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Barra Funda,7272278,BASE SAMU - CENTRO OESTE - LAPA - URAM MC1106,"R. DONA GERMAINE BURCHARD, 451, AGUA BRANCA, São Paulo, 05002-062",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,7255748,BASE SAMU - CENTRO OESTE - PAT BANDEIRANTES - AM906 SAV,"AV. DOS BANDEIRANTES, 51, ITAIM BIBI, São Paulo, 04553-010",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,7272294,BASE SAMU - CENTRO OESTE - PAT BANDEIRANTES - URAM MC1116,"AV. DOS BANDEIRANTES, 51, ITAIM BIBI, São Paulo, 04553-010",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,7272308,BASE SAMU - CENTRO OESTE - PAT BANDEIRATES - URAM MC1107,"AV. DOS BANDEIRANTES, 51, ITAIM BIBI, São Paulo, 04553-010",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Pinheiros,7018177,BASE SAMU - CENTRO OESTE - PINHEIROS PB - AM904 SIV,"R. SUMIDOURO, 520, PINHEIROS, São Paulo, 05428-010",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Pinheiros,7272316,BASE SAMU - CENTRO OESTE - PINHEIROS PB - URAM MC1112,"R. SUMIDOURO, 520, PINHEIROS, São Paulo, 05428-010",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Pinheiros,7272324,BASE SAMU - CENTRO OESTE - PINHEIROS PB - URAM MC1122,"R. SUMIDOURO, 520, PINHEIROS, São Paulo, 05428-010",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Alto de Pinheiros,7255756,BASE SAMU - CENTRO OESTE - VILLA LOBOS - AM901 SAV,"R. PROF FONSECA RODRIGUES, 1665, ALTO DE PINHEIROS, São Paulo, 05461-010",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Alto de Pinheiros,7271956,BASE SAMU - CENTRO OESTE - VILLA LOBOS - AM984,"R. PROF. FONSECA RODRIGUES, 1665, ALTO DE PINHEIROS, São Paulo, 05461-010",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Pinheiros,3010201,CAPS AD II PINHEIROS,"R. NICOLAU GAGLIARDI, 439, PINHEIROS, São Paulo, 05429010",3816-3959
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,2091429,CAPS AD II V MADALENA PROSAM,"R. HEITOR PENTEADO, 1448, SUMARÉ, São Paulo, 05438100",3862-1385
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,4050290,CAPS Adulto II LAPA,"R. ROMA, 446, LAPA, São Paulo, 05050090",3675-5648
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Barra Funda,4049845,CAPS Adulto II PERDIZES - MANOEL MUNHOZ,"R. DR CÂNDIDO ESPINHEIRA, 616, PERDIZES, São Paulo, 05004000",3672-2000
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,2040808,CAPS Adulto III ITAIM BIBI,"AV. HORÁCIO LAFER, 590, ITAIM BIBI, São Paulo, 04538082",3078-6886
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Vila Leopoldina,2027003,CAPS Infantil II LAPA,"R. BERGSON, 52 A, PQ DA LAPA, São Paulo, 05301060",3836-2690
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,2027534,CECCO EDUARDO LEITE BACURI,"AV. SUMARÉ, 67, PERDIZES, São Paulo, 05016090",3862-9933
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,3257797,CEO II LAPA,"R. COTOXÓ, 1000, POMPÉIA, São Paulo, 05033002",3862-7139
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,3446905,COORDENAÇÃO REGIONAL DE SAUDE CENTRO OESTE,"R. CATAI, 611, LAPA, São Paulo, 05049000",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,2046377,CR ST LAPA,"R. COTOXÓ, 664, VILA POMPÉIA, São Paulo, 05021000",3865-2077
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Alto de Pinheiros,2752085,LAB DE SAÚDE PUBLICA DA LAPA,"AV. QUEIROZ FILHO, 313, PQ DA LAPA, São Paulo, 05319000",3021-2171
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Alto de Pinheiros,2082837,PS MUN DA LAPA-JOAO CATARINO MEZOMO,"AV. QUEIROZ FILHO, 313, PQ DA LAPA, São Paulo, 05319000",3022-4278
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,2786648,SAE DST/AIDS LAPA - PAULO CESAR BONFIM,"R. TOMÉ DE SOUZA, 30, LAPA, São Paulo, 05079000",3832-2386
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,3335259,SUPERVISAO TECNICA SAUDE LAPA/PINHEIROS,"R. DR RENATO PAES DE BARROS, 77, ITAIM BIBI, São Paulo, 04530000",
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,2086778,SUVIS LAPA,"R. DR RENATO PAES DE BARROS, 77, ITAIM BIBI, São Paulo, 04530000",3073-1750
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Alto de Pinheiros,3503488,UBS ALTO DE PINHEIROS,"AV. QUEIROZ FILHO, 313, ALTO DE PINHEIROS, São Paulo, 05319000",3023-4588
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,7302541,UBS INTEGRAL JARDIM EDITE,"R. CHARLES COULOMB, 80, CIDADE MONÇÕES, São Paulo, 04576-030",4329-8860
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,2787938,UBS J VERA CRUZ-PERDIZES,"R. SARAMENHA, 60, PERDIZES, São Paulo, 01259030",3673-8552
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,2752301,UBS JOSE DE BARROS MAGALDI,"R. SALVADOR CARDOSO, 177, ITAIM BIBI, São Paulo, 04533050",3168-6571
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Pinheiros,2788063,UBS MANUEL JOAQUIM PERA,"R. PURPURINA, 280, VL MADALENA, São Paulo, 05435030",3032-9891
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,2027380,UBS MENINOPOLIS-MARIO NAPOLITANO,"R. OSCAR GOMES CARDIM, 128/142, BROOKLIN NOVO, São Paulo, 04580040",5096-1058
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Vila Leopoldina,2027461,UBS PQ DA LAPA,"R. BERGSON, 52, PQ DA LAPA, São Paulo, 05301060",3836-8029
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,2788675,UBS V ANASTACIO,"R. BARTOLOMEU PAES, 686, VL ANASTACIO, São Paulo, 05092000",3836-1146
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,2788683,UBS V ANGLO-JOSE SERRA RIBEIRO,"R. TURIASSU, 1765, VL POMPÉIA, São Paulo, 05005001",3672-8401
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,2788985,UBS V IPOJUCA-WANDA COELHO DE MORAES,"R. CATÃO, 1266, LAPA, São Paulo, 05049000",3676-1399
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Jaguara,2789019,UBS V JAGUARA,"R. PAÚVA, 721, VL JAGUARA, São Paulo, 05116001",3625-1775
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Jaguaré,2789116,UBS V NOVA JAGUARE,"R. SALATIEL DE CAMPOS, 222, JAGUARÉ, São Paulo, 05333010",3768-1527
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Jaguara,2789175,UBS V PIAUI,"PRAÇA CAMILO CASTELO BRANCO, 10, VL PIAUÍ, São Paulo, 05109270",3621-4508
SMS,MUNICIPAL,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,2789248,UBS V ROMANA,"R. VESPASIANO, 679, VL ROMANA, São Paulo, 05044-050",3672-0911
SMS,PRIVADA,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Itaim Bibi,3524086,CENESUL-CENTRO DE NEFROLOGIA ZONA SUL,"AV. SANTO AMARO, 2524, V OLIMPIA, São Paulo, 04556100",3846-4000
SMS,PRIVADA,Centro- Oeste,Lapa/ Pinheiros,Pinheiros,Jardim Paulista,2058553,CETENE-CLINICA NEFROLOGIA,"AV. NOVE DE JULHO, 3134, JARDIM PAULISTA, São Paulo, 01406000",3882-9599
SMS,PRIVADA,Centro- Oeste,Lapa/ Pinheiros,Lapa,Barra Funda,2048302,CMIN-CLINICA NEFROLOGICA,"AV. FRANCISCO MATARAZZO, 989, AGUA BRANCA, São Paulo, 05001000",3865-5858
SMS,PRIVADA,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,6253415,NEFROLAPA,"R. FAUSTOLO, 1633, LAPA, São Paulo, 05041001",3865-4900
SMS,PRIVADA,Centro- Oeste,Lapa/ Pinheiros,Lapa,Perdizes,2032228,NEPHRON,"R. VENANCIO AIRES, 52, PERDIZES, São Paulo, 05024030",3676-1046
SMS,PRIVADA,Centro- Oeste,Lapa/ Pinheiros,Lapa,Lapa,2039559,PRONEFRON,"R. MARCELINA, 322, VIL ROMANA, São Paulo, 05044010",3865-8319
SMS,PRIVADA,Centro- Oeste,Lapa/ Pinheiros,Lapa,Barra Funda,2067803,SECONCI-SINDICATO DA IND DA CONSTRUCAO,"AV. FRANCISCO MATARAZZO, 74, PERDIZES, São Paulo, 05001000",3644-5073
SES,ESTADUAL,Centro- Oeste,Sé,Sé,Bela Vista,2068982,AMB ESPEC. SM SES CENTRO,"R. CARLOS COMENALE, 32, BELA VISTA, São Paulo, 01332-030",
SES,ESTADUAL,Centro- Oeste,Sé,Sé,República,2069008,AMBULATORIO DE ESPECIALIDADES CONSOLACAO SAO PAULO,"R. MARTINS FONTES, 208, CONSOLACAO, São Paulo, 01050-000",2141-6200
SES,ESTADUAL,Centro- Oeste,Sé,Sé,Bom Retiro,2068915,CAPS.CRATOD C. REF TABACO ALCOOL OUT DROGAS,"R. PRATES, 165, BOM RETIRO, São Paulo, 01121000",3329-4455
SES,ESTADUAL,Centro- Oeste,Sé,Sé,Bela Vista,2068923,CAPS.ITAPEVA LUIZ ROCHA CERQUEIRA,"R. ITAPEVA, 700, CERQUEIRA CESAR, São Paulo, 01332000",3544-1800
SES,ESTADUAL,Centro- Oeste,Sé,Sé,Cambuci,2069024,CENTRO DE DERMATATOLOGIA SANITARIA - SES,"R. LEOPOLDO MIGUEZ, 327, VARZEA DO GLICERIO, São Paulo, 01518-020",3207-4874
SES,ESTADUAL,Centro- Oeste,Sé,Sé,República,3389790,CEREST-CENT.REF EST SAUDE DO TRABALHADOR-SES,"R. CONSELHEIRO CRISPINIANO, 20, CENTRO, São Paulo, 01037000",3259-9075
SES,ESTADUAL,Centro- Oeste,Sé,Sé,Bela Vista,6578632,FARMACIA MEDEX CENTRO DE REFERENCIA DA SAUDE DA MULHER,"AV. BRIGADEIRO LUIZ ANTONIO, 683, CENTRO, São Paulo, 01317001",
SES,ESTADUAL,Centro- Oeste,Sé,Sé,República,6578640,FARMACIA MEDEX DR GERALDO BOURROUL,"R. MARTINS FONTES, 208, CENTRO, São Paulo, 01050000",
SES,ESTADUAL,Centro- Oeste,Sé,Sé,Consolação,6277373,FARMACIA MEDEX EMILIO RIBAS,"AV. DR ARNALDO, 165, CERQUEIRA CESAR, São Paulo, 01246900",
